Reference ID,Category,Name,Tiers - Level 1 (from Child ERS(s)),Local Controls (Linked),Framework (from Local Controls (Linked)),Sort Order
ER-114,Configuration,[Configuration] Backups and Schedules,Availability,"REQ-62,REQ-63,1616.09l1Organizational.16,A.05.29,A.05.30a,A.08.13a,A.08.14,16.09l1Organizational.4,1618.09l1Organizational.45,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,1616.09l1Organizational.16,A.05.29,A.05.30a,A.08.13a,A.08.14,16.09l1Organizational.4,1618.09l1Organizational.45,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,1616.09l1Organizational.16,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,1616.09l1Organizational.16,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,1616.09l1Organizational.16,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,1616.09l1Organizational.16,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,16.09l1Organizational.4,1618.09l1Organizational.45,1618.09l1Organizational.45,16.09l1Organizational.4,1618.09l1Organizational.45","SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),HITRUST,HITRUST,SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),HITRUST,HITRUST,SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",109
ER-115,Policy,[Policy] Backups,Availability,"REQ-60,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-HIPAA,REQ-60-SOC1,REQ-61-SOC1,REQ-60-HIPAA,REQ-60,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-HIPAA,REQ-60-SOC1,REQ-61-SOC1,REQ-60-HIPAA,REQ-60,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-HIPAA,REQ-60-SOC1,REQ-61-SOC1,REQ-60-HIPAA,REQ-60,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-HIPAA,REQ-60-SOC1,REQ-61-SOC1,REQ-60-HIPAA,REQ-60,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-HIPAA,REQ-60-SOC1,REQ-61-SOC1,REQ-60-HIPAA","SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),HIPAA Security,SOC 1,SOC 1,HIPAA Security,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),HIPAA Security,SOC 1,SOC 1,HIPAA Security,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),HIPAA Security,SOC 1,SOC 1,HIPAA Security,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),HIPAA Security,SOC 1,SOC 1,HIPAA Security,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),HIPAA Security,SOC 1,SOC 1,HIPAA Security",110
ER-116,Sample,[Sample] Backup Records,,"1616.09l1Organizational.16,1616.09l1Organizational.16,1616.09l1Organizational.16,1616.09l1Organizational.16","HITRUST,HITRUST,HITRUST,HITRUST",111
ER-117,Sample,[Sample] Restorations,,"1616.09l1Organizational.16,1616.09l1Organizational.16,1616.09l1Organizational.16,1616.09l1Organizational.16","HITRUST,HITRUST,HITRUST,HITRUST",112
ER-118,Sample,[Sample] Equipment Moves,,"1616.09l1Organizational.16,1616.09l1Organizational.16,1616.09l1Organizational.16,1616.09l1Organizational.16","HITRUST,HITRUST,HITRUST,HITRUST",113
ER-123,Operational,[Operational] Completed Production Data Backup Test,Availability,"REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-SOC1,REQ-61-HIPAA,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-SOC1,REQ-61-HIPAA,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-SOC1,REQ-61-HIPAA,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-SOC1,REQ-61-HIPAA,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-SOC1,REQ-61-HIPAA,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-SOC1,REQ-61-HIPAA,REQ-61,1616.09l1Organizational.16,A.05.29,A.08.13a,REQ-61-SOC1,REQ-61-HIPAA","SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",118
ER-131,Sample,[Sample] BYOD and Company-Owned Mobile Devices Automatic Lockout,,"11190.01t1System.2,11190.01t1System.2,11190.01t1System.2","HITRUST,HITRUST,HITRUST",126
ER-136,Population,[Population] All Terminated Employees During the Review Period [INSERT EXAM PERIOD],Security,"REQ-31,REQ-31-SOC1,REQ-31-HIPAA,11143.02i1Organizational.3,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,A.05.16,REQ-31,REQ-31-SOC1,REQ-31-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,A.05.16,11143.02i1Organizational.3,REQ-31,REQ-31-SOC1,REQ-31-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,A.05.16,REQ-31,REQ-31-SOC1,REQ-31-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,A.05.16,REQ-31,REQ-31-SOC1,REQ-31-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,A.05.16,REQ-31,REQ-31-SOC1,REQ-31-HIPAA,11143.02i1Organizational.3,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,A.05.16,REQ-31,REQ-31-SOC1,REQ-31-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,A.05.16,11143.02i1Organizational.3,11143.02i1Organizational.3","SOC 2,SOC 1,HIPAA Security,HITRUST,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),HITRUST,SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),SOC 2,SOC 1,HIPAA Security,HITRUST,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),HITRUST,HITRUST",131
ER-139,Population,[Population] All Software and Infrastructure Production Changes During the Review Period [INSERT EXAM PERIOD],"Security,PCI DSS v4.0 - ROC - Merchant","REQ-56,REQ-55,06.09b1System.2,1704.03b1Organizational.12,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,1.2.2,6.5.1,6.5.2,REQ-56,REQ-55,06.09b1System.2,1704.03b1Organizational.12,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,1.2.2,6.5.1,6.5.2,REQ-56,REQ-55,06.09b1System.2,1704.03b1Organizational.12,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,1.2.2,6.5.1,6.5.2,REQ-56,REQ-55,06.09b1System.2,1704.03b1Organizational.12,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,1.2.2,6.5.1,6.5.2,REQ-56,REQ-55,06.09b1System.2,1704.03b1Organizational.12,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,1.2.2,6.5.1,6.5.2,REQ-56,REQ-55,06.09b1System.2,1704.03b1Organizational.12,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,1.2.2,6.5.1,6.5.2,1.2.2,6.5.1","SOC 2,SOC 2,HITRUST,HITRUST,SOC 1,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,HITRUST,HITRUST,SOC 1,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,HITRUST,HITRUST,SOC 1,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,HITRUST,HITRUST,SOC 1,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,HITRUST,HITRUST,SOC 1,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,HITRUST,HITRUST,SOC 1,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0",134
ER-141,Population,[Population] All Incidents Identified During the Review Period [INSERT EXAM PERIOD],Security,"REQ-50,1561.11c1Organizational.4,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,1561.11c1Organizational.4,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1","SOC 2,HITRUST,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,HITRUST,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1",136
ER-142,Population,[Population] All Endpoints,,"0226.09k1Organizational.2,0265.09m1Organizational.2,0226.09k1Organizational.2,0265.09m1Organizational.2,0226.09k1Organizational.2,0265.09m1Organizational.2","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",137
ER-143,Population,[Population] All Wireless Access Points,,"0502.09m1Organizational.5,0502.09m1Organizational.5,0502.09m1Organizational.5,0502.09m1Organizational.5","HITRUST,HITRUST,HITRUST,HITRUST",138
ER-144,Population,[Population] All Information Systems,,"07.10m1Organizational.2,07.10m1Organizational.3,1023.01d1System.11,1143.01c1System.123,1151.01c1System.2,07.10m1Organizational.2,07.10m1Organizational.3,1023.01d1System.11,1143.01c1System.123,1151.01c1System.2,07.10m1Organizational.2,07.10m1Organizational.3,1023.01d1System.11,1143.01c1System.123,1151.01c1System.2,07.10m1Organizational.2,07.10m1Organizational.3,1023.01d1System.11,1143.01c1System.123,1151.01c1System.2","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",139
ER-145,Population,[Population] All Network Devices,,"1023.01d1System.11,1023.01d1System.11,1023.01d1System.11,1023.01d1System.11","HITRUST,HITRUST,HITRUST,HITRUST",140
ER-146,Population,[Population] All New Hires for the Observation Period [INSERT EXAM PERIOD],,"13998.02e1Organizational.2,13.02e1Organizational.6,13998.02e1Organizational.2,13.02e1Organizational.6,13998.02e1Organizational.2,13.02e1Organizational.6,13998.02e1Organizational.2,13.02e1Organizational.6","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",141
ER-147,Population,[Population] All Administrator Accounts,,"11183.01c1System.3,11183.01c1System.3,11183.01c1System.3","HITRUST,HITRUST,HITRUST",142
ER-148,Population,[Population] All User Accounts,,"1123.01q1System.2,1123.01q1System.2,1123.01q1System.2","HITRUST,HITRUST,HITRUST",143
ER-149,Population,[Population] All BYOD and Mobile Devices,,"11190.01t1System.2,11190.01t1System.2,11190.01t1System.2,11190.01t1System.2","HITRUST,HITRUST,HITRUST,HITRUST",144
ER-150,Population,[Population] All Transfers for the Observation Period [INSERT EXAM PERIOD],,"11143.02i1Organizational.3,11143.02i1Organizational.3,11143.02i1Organizational.3,11143.02i1Organizational.3,11143.02i1Organizational.3","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",145
ER-153,Population,[Population] All Backup Records for the Observation Period [INSERT EXAM PERIOD],,"1616.09l1Organizational.16,1616.09l1Organizational.16,1616.09l1Organizational.16,1616.09l1Organizational.16","HITRUST,HITRUST,HITRUST,HITRUST",147
ER-154,Population,[Population] All Restore Records for the Observation Period [INSERT EXAM PERIOD],,"1616.09l1Organizational.16,1616.09l1Organizational.16,1616.09l1Organizational.16,1616.09l1Organizational.16","HITRUST,HITRUST,HITRUST,HITRUST",148
ER-155,Population,[Population] All Equipment Moves for the Observation Period [INSERT EXAM PERIOD],,"1616.09l1Organizational.16,0302.09o1Organizational.3,0321.09u1Organizational.2,1616.09l1Organizational.16,0302.09o1Organizational.3,0321.09u1Organizational.2,1616.09l1Organizational.16,0302.09o1Organizational.3,0321.09u1Organizational.2,1616.09l1Organizational.16,0302.09o1Organizational.3,0321.09u1Organizational.2,1616.09l1Organizational.16,0302.09o1Organizational.3,0321.09u1Organizational.2,1616.09l1Organizational.16,0302.09o1Organizational.3,0321.09u1Organizational.2","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",149
ER-157,Population,[Population] All Facilities and Secure Areas,,"1802.08b1Organizational.3,1802.08b1Organizational.3,1802.08b1Organizational.3,1802.08b1Organizational.3","HITRUST,HITRUST,HITRUST,HITRUST",151
ER-158,Population,[Population] All Public Information Posting Users,,"19180.09z1Organizational.2,19180.09z1Organizational.2,19180.09z1Organizational.2,19180.09z1Organizational.2","HITRUST,HITRUST,HITRUST,HITRUST",152
ER-282,Configuration,[Configuration] Password and Multifactor Authentication,,"11.01p1System.5,11.01p1System.5,11.01p1System.5","HITRUST,HITRUST,HITRUST",268
ER-283,Configuration,[Configuration] Audit Log Retention,PCI DSS v4.0 - ROC - Merchant,"1239.09aa1System.4,5.3.4,10.5.1,1239.09aa1System.4,10.5.1,1239.09aa1System.4,10.5.1","HITRUST,PCI DSS v4.0,PCI DSS v4.0,HITRUST,PCI DSS v4.0,HITRUST,PCI DSS v4.0",269
ER-442,Sample,[Sample] Automated/Manual Security Updating,,"07.10m1Organizational.2,07.10m1Organizational.2,07.10m1Organizational.2","HITRUST,HITRUST,HITRUST",423
ER-448,Operational,[Operational] Destruction of Media Containing Sensitive Information,,"1826.09p1Organizational.1,1826.09p1Organizational.1,1826.09p1Organizational.1,1826.09p1Organizational.1,1826.09p1Organizational.1","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",428
ER-449,Configuration,"[Configuration] Unnecessary Port, Services Removal",,1194.01l1Organizational.2,HITRUST,429
ER-450,Configuration,[Configuration] Offline and Immutable Backups,,"16.09l1Organizational.4,16.09l1Organizational.4,16.09l1Organizational.4,16.09l1Organizational.4","HITRUST,HITRUST,HITRUST,HITRUST",430
ER-451,Operational,[Operational] IT Asset Inventory Review,,"07.07a1Organizational.8,07.07a1Organizational.8,07.07a1Organizational.8,07.07a1Organizational.8","HITRUST,HITRUST,HITRUST,HITRUST",431
ER-499,Population,[Population] Services Outsourced with Access to In-Scope Information,,"0835.09n1Organizational.1,1428.05k1Organizational.2,1408.09e1System.1,1411.09f1System.1,1414.09g1System.1,1444.09t1Organizational.12,14.05i1Organizational.3,0835.09n1Organizational.1,1428.05k1Organizational.2,1408.09e1System.1,1411.09f1System.1,1414.09g1System.1,1444.09t1Organizational.12,14.05i1Organizational.3,0835.09n1Organizational.1,1428.05k1Organizational.2,1408.09e1System.1,1411.09f1System.1,1414.09g1System.1,1444.09t1Organizational.12,14.05i1Organizational.3","HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST",478
ER-500,Sample,[Sample] Third Party Security Evaluation,,14.05i1Organizational.3,HITRUST,479
