Reference ID,Category,Name,Tiers - Level 1 (from Child ERS(s)),Local Controls (Linked),Framework (from Local Controls (Linked)),Sort Order
ER-217,Configuration,[Configuration] Backups and Schedules,Availability,"REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security",205
ER-218,Operational,[Operational] BC/DR Plan,Security,"A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-59,REQ-59-HIPAA,REQ-58,REQ-58-HIPAA,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-59,REQ-59-HIPAA,REQ-58,REQ-58-HIPAA,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-59,REQ-59-HIPAA,REQ-58,REQ-58-HIPAA,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-59,REQ-59-HIPAA,REQ-58,REQ-58-HIPAA,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-59,REQ-59-HIPAA,REQ-58,REQ-58-HIPAA,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-59,REQ-59-HIPAA,REQ-58,REQ-58-HIPAA","ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 2,HIPAA Security,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 2,HIPAA Security,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 2,HIPAA Security,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 2,HIPAA Security,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 2,HIPAA Security,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 2,HIPAA Security",206
ER-219,Configuration,[Configuration] Replication,Availability,"REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA,REQ-62,REQ-63,A.05.29,A.05.30a,A.08.13a,A.08.14,REQ-62-SOC1,REQ-63-SOC1,REQ-62-HIPAA,REQ-63-HIPAA","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security",207
ER-220,Policy,[Policy] Backups,Availability,"REQ-60,REQ-61,A.05.29,A.08.13a,REQ-60-SOC1,REQ-61-SOC1,REQ-60-HIPAA,REQ-61-HIPAA,REQ-60,REQ-61,A.05.29,A.08.13a,REQ-60-SOC1,REQ-61-SOC1,REQ-60-HIPAA,REQ-61-HIPAA,REQ-60,REQ-61,A.05.29,A.08.13a,REQ-60-SOC1,REQ-61-SOC1,REQ-60-HIPAA,REQ-61-HIPAA,REQ-60,REQ-61,A.05.29,A.08.13a,REQ-60-SOC1,REQ-61-SOC1,REQ-60-HIPAA,REQ-61-HIPAA,REQ-60,REQ-61,A.05.29,A.08.13a,REQ-60-SOC1,REQ-61-SOC1,REQ-60-HIPAA,REQ-61-HIPAA","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security",208
ER-222,Operational,[Operational] New Hire Signed Code of Conduct,Security,"REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-8-SOC1,REQ-8-HIPAA,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-8-SOC1,REQ-8-HIPAA,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-8-SOC1,REQ-8-HIPAA","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",209
ER-223,Operational,[Operational] New Hire Signed Confidentiality Agreements,Security,"REQ-10,A.06.06,REQ-10-SOC1,REQ-10-HIPAA,REQ-10,A.06.06,REQ-10-SOC1,REQ-10-HIPAA,REQ-10,A.06.06,REQ-10-SOC1,REQ-10-HIPAA","SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security",210
ER-224,Operational,[Operational] New Hire Background Check Reports,Security,"REQ-11,A.06.01,REQ-11-SOC1,REQ-11-HIPAA,REQ-11,A.06.01,REQ-11-SOC1,REQ-11-HIPAA,REQ-11,A.06.01,REQ-11-SOC1,REQ-11-HIPAA,REQ-11,A.06.01,REQ-11-SOC1,REQ-11-HIPAA,REQ-11,A.06.01,REQ-11-SOC1,REQ-11-HIPAA,REQ-11,A.06.01,REQ-11-SOC1,REQ-11-HIPAA","SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security",211
ER-225,Operational,[Operational] Risk Committee Meeting Minutes,Security,"REQ-4,REQ-3,09.03.01,REQ-3-SOC1,REQ-4-SOC1,REQ-4,REQ-3,09.03.01,REQ-3-SOC1,REQ-4-SOC1,REQ-4,REQ-3,09.03.01,REQ-3-SOC1,REQ-4-SOC1,REQ-4,REQ-3,09.03.01,REQ-3-SOC1,REQ-4-SOC1,REQ-4,REQ-3,09.03.01,REQ-3-SOC1,REQ-4-SOC1","SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1",212
ER-226,Operational,[Operational] Current Employees Job Descriptions,Security,"REQ-15,A.05.02,A.05.03,A.05.04,REQ-15-SOC1,REQ-15-HIPAA,REQ-15,A.05.02,A.05.03,A.05.04,REQ-15-SOC1,REQ-15-HIPAA,REQ-15,A.05.02,A.05.03,A.05.04,REQ-15-SOC1,REQ-15-HIPAA,REQ-15,A.05.02,A.05.03,A.05.04,REQ-15-SOC1,REQ-15-HIPAA,REQ-15,A.05.02,A.05.03,A.05.04,REQ-15-SOC1,REQ-15-HIPAA","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",213
ER-227,Operational,[Operational] Current Employee Security Awareness Training,Security,"REQ-13,A.06.03,REQ-13-SOC1,REQ-13-HIPAA,REQ-13,A.06.03,REQ-13-SOC1,REQ-13-HIPAA,REQ-13,A.06.03,REQ-13-SOC1,REQ-13-HIPAA","SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security",214
ER-228,Operational,[Operational] Critical Vendor Agreements,Security,"REQ-22,A.05.14,A.05.20,A.05.21,A.05.22,REQ-22-SOC1,REQ-22-HIPAA,REQ-22,A.05.14,A.05.20,A.05.21,A.05.22,REQ-22-SOC1,REQ-22-HIPAA,REQ-22,A.05.14,A.05.20,A.05.21,A.05.22,REQ-22-SOC1,REQ-22-HIPAA,REQ-22,A.05.14,A.05.20,A.05.21,A.05.22,REQ-22-SOC1,REQ-22-HIPAA","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",215
ER-229,Operational,[Operational] Evidence of Vulnerability Scan Results,Security,"REQ-46,REQ-47,A.08.07,A.08.08a,REQ-46-SOC1,REQ-47-SOC1,REQ-46-HIPAA,REQ-47-HIPAA","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security",216
ER-230,Operational,[Operational] Evidence of Vulnerability Scan Remediation,Security,"REQ-46,REQ-47,A.08.07,A.08.08a,REQ-46-SOC1,REQ-47-SOC1,REQ-46-HIPAA,REQ-47-HIPAA","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security",217
ER-231,Operational,[Operational] Critical Vendor Assessments,Security,"REQ-23,A.05.22,REQ-23-SOC1,REQ-23-HIPAA,REQ-23,A.05.22,REQ-23-SOC1,REQ-23-HIPAA,REQ-23,A.05.22,REQ-23-SOC1,REQ-23-HIPAA,REQ-23,A.05.22,REQ-23-SOC1,REQ-23-HIPAA,REQ-23,A.05.22,REQ-23-SOC1,REQ-23-HIPAA","SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security",218
ER-232,Operational,[Operational] Employee Termination Ticket,Security,"REQ-31,A.05.15,A.05.18a,A.08.03,A.06.05,A.06.06,REQ-31-SOC1,A.08.05a,REQ-31-HIPAA,A.05.16,REQ-31,A.05.15,A.05.18a,A.08.03,A.06.05,A.06.06,REQ-31-SOC1,A.08.05a,REQ-31-HIPAA,A.05.16,REQ-31,A.05.15,A.05.18a,A.08.03,A.06.05,A.06.06,REQ-31-SOC1,A.08.05a,REQ-31-HIPAA,A.05.16,REQ-31,A.05.15,A.05.18a,A.08.03,A.06.05,A.06.06,REQ-31-SOC1,A.08.05a,REQ-31-HIPAA,A.05.16,REQ-31,A.05.15,A.05.18a,A.08.03,A.06.05,A.06.06,REQ-31-SOC1,A.08.05a,REQ-31-HIPAA,A.05.16,REQ-31,A.05.15,A.05.18a,A.08.03,A.06.05,A.06.06,REQ-31-SOC1,A.08.05a,REQ-31-HIPAA,A.05.16","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),HIPAA Security,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),HIPAA Security,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),HIPAA Security,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),HIPAA Security,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),HIPAA Security,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),HIPAA Security,ISO 27001/2 (2022)",219
ER-233,Operational,[Operational] Software/Infrastructure Production Change Ticket,Security,"REQ-55,REQ-56,A.08.32,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-55,REQ-56,A.08.32,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-55,REQ-56,A.08.32,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-55,REQ-56,A.08.32,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-55,REQ-56,A.08.32,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA,REQ-55,REQ-56,A.08.32,REQ-55-SOC1,REQ-56-SOC1,REQ-55-HIPAA","SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security",220
ER-234,Policy,[Policy] Security Awareness Training,Security,"REQ-12,REQ-13,REQ-12-SOC1,REQ-13-SOC1,REQ-12-HIPAA,REQ-13-HIPAA,REQ-12,REQ-13,REQ-12-SOC1,REQ-13-SOC1,REQ-12-HIPAA,REQ-13-HIPAA,REQ-12,REQ-13,REQ-12-SOC1,REQ-13-SOC1,REQ-12-HIPAA,REQ-13-HIPAA","SOC 2,SOC 2,SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,SOC 1,SOC 1,HIPAA Security,HIPAA Security",221
ER-235,Operational,[Operational] Listing of All Vendors and Their Criticality,Security,"REQ-22,REQ-23,A.05.21,A.05.22,REQ-22-SOC1,REQ-23-SOC1,REQ-23-HIPAA,REQ-22-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-22,REQ-23,A.05.21,A.05.22,REQ-22-SOC1,REQ-23-SOC1,REQ-23-HIPAA,REQ-22-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-22,REQ-23,A.05.21,A.05.22,REQ-22-SOC1,REQ-23-SOC1,REQ-23-HIPAA,REQ-22-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-22,REQ-23,A.05.21,A.05.22,REQ-22-SOC1,REQ-23-SOC1,REQ-23-HIPAA,REQ-22-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-22,REQ-23,A.05.21,A.05.22,REQ-22-SOC1,REQ-23-SOC1,REQ-23-HIPAA,REQ-22-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,HIPAA Security,SOC 1",222
ER-236,Operational,[Operational] Example Access Request Form or Access Request Template,Security,"REQ-30,A.05.15,A.05.18a,A.08.03,A.08.05a,REQ-30-SOC1,REQ-30-HIPAA,A.05.16,REQ-30,A.05.15,A.05.18a,A.08.03,A.08.05a,REQ-30-SOC1,REQ-30-HIPAA,REQ-30,A.05.15,A.05.18a,A.08.03,A.08.05a,REQ-30-SOC1,REQ-30-HIPAA,REQ-30,A.05.15,A.05.18a,A.08.03,A.08.05a,REQ-30-SOC1,REQ-30-HIPAA,REQ-30,A.05.15,A.05.18a,A.08.03,A.08.05a,REQ-30-SOC1,REQ-30-HIPAA,REQ-30,A.05.15,A.05.18a,A.08.03,A.08.05a,REQ-30-SOC1,REQ-30-HIPAA","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",223
ER-237,Operational,[Operational] Incident Ticket,Security,"REQ-50,A.05.28,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,A.05.28,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,A.05.28,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,A.05.28,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,A.05.28,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,A.05.28,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1,REQ-50,A.05.28,REQ-50-SOC1,REQ-50-HIPAA,REQ-995,REQ-995-HIPAA,REQ-995-SOC1","SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HIPAA Security,SOC 1",224
ER-378,Configuration,[Configuration] Badge Access Logging,Security - Physical Security,"REQ-68,REQ-68,REQ-68,REQ-68,REQ-68","SOC 2,SOC 2,SOC 2,SOC 2,SOC 2",361
ER-379,Operational,[Operational] Server Room Physical Security Measures,Security - Physical Security,"REQ-70,REQ-70,REQ-70,REQ-70,REQ-70,REQ-70,REQ-70,REQ-70,REQ-70","SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2",362
ER-381,Operational,[Operational] Server Room Visitor Admission Process,Security - Physical Security,"REQ-71,REQ-71,REQ-71,REQ-71,REQ-71,REQ-71","SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2",363
ER-382,Configuration,[Configuration] Privileged Access to the Badge System,Security - Physical Security,"REQ-69,REQ-69,REQ-69,REQ-69","SOC 2,SOC 2,SOC 2,SOC 2",364
ER-383,Policy,[Policy] Server Room Access Review,Security - Physical Security,"REQ-72,REQ-72","SOC 2,SOC 2",365
ER-384,Configuration,[Configuration] Server Room Access,Security - Physical Security,REQ-73,SOC 2,366
ER-385,Operational,[Operational] Server Room Environmental Security Measures,Security - Physical Security,"REQ-74,REQ-74,REQ-74,REQ-74,REQ-74,REQ-74,REQ-74,REQ-74,REQ-74","SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2",367
ER-386,Configuration,[Configuration] Server Room Environmental Monitoring & Alerting,Security - Physical Security,"REQ-75,REQ-75,REQ-75,REQ-75,REQ-75,REQ-75","SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2",368
ER-387,Policy,[Policy] Server Room Equipment Maintenance Policy or Schedule,Security - Physical Security,"REQ-76,REQ-76,REQ-76,REQ-76,REQ-76,REQ-76,REQ-76,REQ-76,REQ-76","SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2",369
ER-418,Policy,[Policy] Privacy Policy Availability,"Privacy - Data Controller,Privacy - Data Controller & Processor","REQ-77,REQ-78,REQ-80-C,REQ-81,REQ-83,REQ-92-C","SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2",399
ER-419,Operational,[Operational] Consent Collection,"Privacy - Data Controller,Privacy - Data Controller & Processor","REQ-82,REQ-92-C,REQ-82,REQ-92-C,REQ-82,REQ-92-C,REQ-82,REQ-92-C,REQ-82,REQ-92-C","SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2,SOC 2",400
ER-420,Operational,[Operational] New Purpose for Personal Data,"Privacy - Data Controller,Privacy - Data Controller & Processor","REQ-83,REQ-83,REQ-83,REQ-83,REQ-83","SOC 2,SOC 2,SOC 2,SOC 2,SOC 2",401
ER-421,Operational,[Operational] Personal Data Intake Form,"Privacy - Data Controller,Privacy - Data Controller & Processor","REQ-80-C,REQ-80-C","SOC 2,SOC 2",402
ER-422,Operational,[Operational] Collection Method Review,"Privacy - Data Controller,Privacy - Data Processor,Privacy - Data Controller & Processor",REQ-79,SOC 2,403
