Reference ID,Category,Name,Tiers - Level 1 (from Child ERS(s)),Local Controls (Linked),Framework (from Local Controls (Linked)),Sort Order
ER-200,Configuration,[Configuration] AWS IAM Credential Report,Security,"A.05.16,REQ-28,REQ-28-HIPAA,REQ-28-SOC1,REQ-27,REQ-27-HIPAA,REQ-27-SOC1,A.08.18,A.05.16,REQ-28,REQ-28-HIPAA,REQ-28-SOC1,REQ-27,REQ-27-HIPAA,REQ-27-SOC1,A.08.18,A.05.16,REQ-28,REQ-28-HIPAA,REQ-28-SOC1,REQ-27,REQ-27-HIPAA,REQ-27-SOC1,A.08.18,A.05.16,REQ-28,REQ-28-HIPAA,REQ-28-SOC1,REQ-27,REQ-27-HIPAA,REQ-27-SOC1,A.08.18,A.05.16,REQ-28,REQ-28-HIPAA,REQ-28-SOC1,REQ-27,REQ-27-HIPAA,REQ-27-SOC1,A.08.18","ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 1,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 1,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 1,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 1,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 2,HIPAA Security,SOC 1,SOC 2,HIPAA Security,SOC 1,ISO 27001/2 (2022)",192
ER-201,Configuration,[Configuration] AWS Trusted Advisor Report,Security,"REQ-37,REQ-37-HIPAA,REQ-37-SOC1,REQ-37,REQ-37-HIPAA,REQ-37-SOC1,REQ-37,REQ-37-HIPAA,REQ-37-SOC1,REQ-37,REQ-37-HIPAA,REQ-37-SOC1,REQ-37,REQ-37-HIPAA,REQ-37-SOC1,REQ-37,REQ-37-HIPAA,REQ-37-SOC1","SOC 2,HIPAA Security,SOC 1,SOC 2,HIPAA Security,SOC 1,SOC 2,HIPAA Security,SOC 1,SOC 2,HIPAA Security,SOC 1,SOC 2,HIPAA Security,SOC 1,SOC 2,HIPAA Security,SOC 1",193
ER-202,Configuration,[Configuration] Evidence of Intrusion Detection (IDS) Dashboard with Events,Security,"REQ-40,A.08.20,A.08.21,A.08.22,REQ-40-SOC1,A.08.07,REQ-40,A.08.20,A.08.21,A.08.22,REQ-40-SOC1,A.08.07,REQ-40,A.08.20,A.08.21,A.08.22,REQ-40-SOC1,A.08.07,REQ-40,A.08.20,A.08.21,A.08.22,REQ-40-SOC1,A.08.07,REQ-40,A.08.20,A.08.21,A.08.22,REQ-40-SOC1,A.08.07,REQ-40,A.08.20,A.08.21,A.08.22,REQ-40-SOC1,A.08.07","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022),SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,ISO 27001/2 (2022)",194
ER-205,Configuration,[Configuration] Encryption In Transit (Ex. TLS Protocols),Security,"REQ-35,REQ-33,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-35-SOC1,REQ-33-HIPAA,REQ-35-HIPAA,REQ-35,REQ-33,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-35-SOC1,REQ-33-HIPAA,REQ-35-HIPAA,REQ-35,REQ-33,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-35-SOC1,REQ-33-HIPAA,REQ-35-HIPAA","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security",195
ER-206,Configuration,[Configuration] Antimalware and Alerts,Security,"REQ-38,A.08.07,REQ-38-SOC1,REQ-38-HIPAA,REQ-38,A.08.07,REQ-38-SOC1,REQ-38-HIPAA,REQ-38,A.08.07,REQ-38-SOC1,REQ-38-HIPAA,REQ-38,A.08.07,REQ-38-SOC1,REQ-38-HIPAA,REQ-38,A.08.07,REQ-38-SOC1,REQ-38-HIPAA,REQ-38,A.08.07,REQ-38-SOC1,REQ-38-HIPAA","SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security",196
ER-207,Configuration,[Configuration] Evidence from Security Logging Dashboard,Security,"REQ-39,A.08.15,A.08.16,REQ-39-SOC1,REQ-39-HIPAA,REQ-39,A.08.15,A.08.16,REQ-39-SOC1,REQ-39-HIPAA,REQ-39,A.08.15,A.08.16,REQ-39-SOC1,REQ-39-HIPAA","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",197
ER-208,Configuration,[Configuration] Security Event Alerts,Security,"REQ-39,A.08.15,A.08.16,REQ-39-SOC1,REQ-39-HIPAA,REQ-39,A.08.15,A.08.16,REQ-39-SOC1,REQ-39-HIPAA,REQ-39,A.08.15,A.08.16,REQ-39-SOC1,REQ-39-HIPAA,REQ-39,A.08.15,A.08.16,REQ-39-SOC1,REQ-39-HIPAA","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",198
ER-209,Configuration,[Configuration] Evidence from Infrastructure Monitoring Dashboard(s),Security,"REQ-41,A.08.15,A.08.16,REQ-41-SOC1,REQ-41,A.08.15,A.08.16,REQ-41-SOC1,REQ-41,A.08.15,A.08.16,REQ-41-SOC1","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1",199
ER-210,Configuration,[Configuration] Infrastructure Monitoring Alerts,Security,"REQ-41,A.08.15,A.08.16,REQ-41-SOC1,REQ-41,A.08.15,A.08.16,REQ-41-SOC1,REQ-41,A.08.15,A.08.16,REQ-41-SOC1,REQ-41,A.08.15,A.08.16,REQ-41-SOC1","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1",200
ER-211,Policy,[Policy] Incident Response,Security,"REQ-49,A.05.24a,A.05.26,A.05.27,A.05.28,REQ-49-SOC1,REQ-48,REQ-48-SOC1,A.05.25,REQ-48-HIPAA,REQ-49,A.05.24a,A.05.26,A.05.27,A.05.28,REQ-49-SOC1,REQ-48,REQ-48-SOC1,A.05.25,REQ-48-HIPAA,REQ-49,A.05.24a,A.05.26,A.05.27,A.05.28,REQ-49-SOC1,REQ-48,REQ-48-SOC1,A.05.25,REQ-48-HIPAA","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,SOC 1,ISO 27001/2 (2022),HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,SOC 1,ISO 27001/2 (2022),HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,SOC 1,ISO 27001/2 (2022),HIPAA Security",201
ER-212,Configuration,[Configuration] Evidence of Branch Protection Rules for Production Repositories,Security,"REQ-54,REQ-57,A.05.03,A.08.31,REQ-54-SOC1,REQ-57-SOC1,REQ-54-HIPAA,REQ-57-HIPAA,REQ-54,REQ-57,A.05.03,A.08.31,REQ-54-SOC1,REQ-57-SOC1,REQ-54-HIPAA,REQ-57-HIPAA,REQ-54,REQ-57,A.05.03,A.08.31,REQ-54-SOC1,REQ-57-SOC1,REQ-54-HIPAA,REQ-57-HIPAA","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security",202
ER-214,Configuration,[Configuration] Evidence from System Capacity Monitoring Dashboard,Availability,"REQ-64,A.08.06,A.08.16,REQ-64-SOC1,REQ-64,A.08.06,A.08.16,REQ-64-SOC1,REQ-64,A.08.06,A.08.16,REQ-64-SOC1,REQ-64,A.08.06,A.08.16,REQ-64-SOC1,REQ-64,A.08.06,A.08.16,REQ-64-SOC1","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1",203
ER-216,Configuration,[Configuration] System Capacity Monitoring Alerts,Availability,"REQ-64,A.08.06,A.08.16,REQ-64-SOC1,REQ-64,A.08.06,A.08.16,REQ-64-SOC1,REQ-64,A.08.06,A.08.16,REQ-64-SOC1,REQ-64,A.08.06,A.08.16,REQ-64-SOC1,REQ-64,A.08.06,A.08.16,REQ-64-SOC1","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1",204
